product_id,view_freq,bought_freq
0,6,0
1,6,0
2,9,0
3,7,0
4,11,0
5,4,1
9,7,0
10,7,0
11,5,0
12,17,0
16,36,0
17,70,2
18,11,0
19,35,0
20,48,0
21,11,0
24,7,0
25,6,0
26,7,0
27,15,0
34,11,0
35,22,0
36,11,0
37,8,0
38,8,1
39,4,0
42,24,1
47,2,0
48,3,0
49,1,0
59,1,0
60,2,1
61,2,0
62,1,0
63,6,1
64,3,0
65,2,0
66,2,0
67,2,1
68,2,0
71,141,4
72,167,1
73,677,11
74,36,0
76,4,0
77,49,0
78,4,0
84,12,0
85,165,1
86,10,2
87,4,0
88,1,0
89,19,0
90,13,0
91,2,0
92,12,0
93,94,1
114,129,1
115,154,0
116,22,0
117,9,0
118,27,0
119,8,0
120,3,0
121,4,0
122,24,0
123,22,0
124,41,0
129,15,0
130,13,0
131,5,0
132,12,0
133,3,0
134,6,0
137,306,3
138,33,1
139,20,0
140,73,0
141,18,1
142,36,0
143,10,0
144,43,1
97,12,0
155,22,0
156,1,0
157,43,2
163,12,0
164,1,0
165,3,0
166,90,0
173,12,0
174,17,0
175,11,0
176,55,0
136,84,1
192,84,1
195,60,0
196,55,1
198,24,0
199,21,1
127,101,1
206,14,0
207,37,0
216,1,0
217,1,0
220,5,0
223,42,2
224,22,0
225,11,0
241,85,2
242,22,0
243,50,0
244,9,0
245,10,0
246,17,0
247,14,0
248,11,0
249,23,1
253,3,0
254,2,0
169,4,0
262,387,4
263,56,0
264,84,2
265,1,0
266,2,0
267,4,0
268,3,0
269,6,0
270,4,0
271,1,0
272,1,0
273,11,0
274,1,0
275,1,0
276,2,0
277,1,0
278,3,0
279,5,0
280,4,0
281,9,0
282,3,0
283,6,0
291,22,1
296,6,0
297,7,0
298,2,0
299,2,0
303,16,1
304,2,0
305,1,0
306,3,0
307,2,0
308,1,0
309,2,0
310,2,0
311,1,0
312,1,0
332,9,0
333,3,0
334,1,0
8,225,3
339,62,0
340,22,0
341,100,1
342,36,0
343,164,0
344,26,0
352,50,2
353,3,0
361,103,0
362,61,1
363,147,1
364,25,0
365,37,0
178,19,0
179,21,0
366,14,0
367,12,0
368,14,0
369,26,0
370,9,0
161,74,0
374,60,0
375,82,0
379,2,0
384,48,0
385,3,0
386,1,0
390,61,1
391,57,1
392,19,0
406,35,1
407,8,0
408,27,1
409,11,0
413,2,0
414,27,0
415,11,0
416,18,0
417,1,0
418,13,0
419,4,0
420,4,0
421,2,0
423,5,0
424,3,0
425,2,0
426,10,0
433,5,0
434,2,0
435,2,0
439,27,0
440,12,0
446,11,0
447,2,0
448,3,0
449,3,0
450,1,0
451,1,0
452,4,0
453,2,1
454,5,1
455,6,1
456,5,0
458,29,0
459,4,0
460,8,0
463,8,0
464,52,0
475,2,0
476,1,0
477,4,0
478,3,0
479,3,0
481,1,0
486,14,0
487,11,0
488,8,0
489,16,2
490,9,0
491,6,0
492,6,0
493,6,0
494,12,1
496,4,0
497,13,0
240,22,0
498,6,0
504,8,0
505,4,0
506,6,0
507,3,0
510,79,1
511,62,0
512,37,0
513,56,1
514,18,0
515,5,0
519,44,4
522,15,0
523,56,1
531,5,0
532,1,0
533,2,0
534,1,0
535,1,0
536,5,0
537,1,0
538,2,0
539,1,0
540,1,0
541,1,0
542,1,0
547,76,1
548,13,0
549,12,0
550,15,0
551,177,2
552,125,0
162,318,8
553,135,1
558,3,0
556,30,0
559,3,0
560,12,0
561,15,0
562,23,1
563,15,0
564,11,0
565,25,0
566,6,0
567,3,0
568,16,0
569,13,0
570,11,0
571,1,0
572,1,0
573,3,0
574,5,0
575,3,0
576,2,0
589,5,0
582,7,0
590,7,0
581,10,0
585,1,0
583,1,0
577,3,0
591,115,0
592,5,0
579,3,0
593,10,0
599,43,1
600,9,1
601,56,0
602,31,2
204,396,12
609,213,2
28,148,3
610,96,0
611,65,1
33,60,0
612,40,0
613,13,0
614,17,0
615,50,0
616,9,0
617,14,0
618,6,0
619,5,0
620,14,0
623,5,0
624,19,0
625,19,0
626,8,0
627,3,0
187,36,0
635,25,0
636,15,0
637,4,0
638,7,0
642,38,0
643,39,1
644,36,0
645,31,1
650,50,0
651,6,0
652,2,0
655,18,0
656,7,0
657,12,0
658,6,0
659,23,0
668,1,0
669,1,0
670,1,0
671,24,0
672,20,0
673,18,0
674,8,0
675,1,0
687,7,0
688,4,1
689,1,0
690,3,1
691,4,0
692,1,0
699,2,0
700,1,0
704,8,0
705,4,0
706,6,1
259,173,0
709,16,0
710,26,0
711,57,0
712,54,1
713,43,0
714,20,0
715,8,1
716,1,0
717,2,0
718,13,0
727,1,0
728,3,0
729,2,0
730,3,0
742,30,0
743,62,4
744,34,0
745,16,1
750,38,2
751,197,4
752,16,0
791,140,1
320,34,1
785,27,0
792,8,0
793,16,0
794,17,0
795,27,0
796,63,1
797,9,0
746,118,1
753,6,0
798,6,0
754,7,0
799,45,0
800,253,2
801,26,0
810,14,1
811,3,0
812,3,0
817,1,0
818,1,0
819,1,0
820,1,0
821,1,0
824,7,0
825,32,0
828,88,2
829,35,0
830,36,0
833,48,0
834,26,1
837,19,0
838,4,0
839,3,0
840,4,0
842,24,0
845,2,0
846,3,0
847,66,0
850,3,0
851,1,1
852,5,0
854,6,0
855,45,1
874,12,0
875,139,1
876,9,0
877,55,0
878,27,0
879,153,1
884,138,1
170,280,5
885,14,0
886,18,0
887,26,2
894,2,0
895,4,0
896,4,0
897,2,0
898,9,0
899,13,0
900,7,0
901,15,1
902,1,0
903,12,1
918,110,2
919,47,0
920,66,1
922,4,0
923,4,0
924,8,0
925,49,0
926,1,0
927,4,0
238,10,0
928,7,0
929,8,0
239,15,0
930,13,1
931,2,0
933,7,0
934,2,0
935,2,0
936,1,0
940,1,0
942,8,0
943,8,0
944,3,0
947,2,0
948,5,0
135,44,4
956,11,1
958,16,0
959,7,0
960,48,1
964,3,0
965,1,0
967,53,0
968,8,0
969,18,0
970,96,1
975,14,0
976,2,0
985,2,0
986,2,0
987,3,0
988,1,0
1008,93,1
1009,78,1
1010,27,0
1011,122,2
1014,10,0
1015,11,0
1016,7,0
1028,24,0
1029,12,1
1033,3,0
1034,2,0
1036,1,0
1037,7,0
1038,2,0
1041,19,0
1042,65,0
1043,55,0
1047,4,0
1048,1,0
1049,2,0
1052,9,0
1053,1,0
1059,11,0
1060,1,0
1061,2,0
1062,1,0
1064,75,1
